Vertex	Core
Vertex	Core
53	1
61490	11
403384	22
61491	10
403385	22
403386	22
61493	10
403387	22
403388	22
403389	22
153500	2
36430	16
61496	8
61497	5
36431	6
61498	3
153502	1
417967	1
153503	1
61499	1
417968	5
417969	5
153506	4
403380	5
403381	5
153507	2
403382	5
403383	22
417970	5
417971	5
417972	2
417973	1
417976	2
417977	3
36432	5
36433	8
61	46
36435	35
36436	6
36439	12
403373	3
403374	1
403375	2
69	13
403376	2
153530	4
403377	5
153531	5
403378	5
403379	5
36420	6
153535	1
417978	2
417979	3
153537	13
153538	3
153539	3
403370	4
403371	7
403372	7
417981	3
417982	3
417983	1
417985	2
417986	13
417987	13
417988	2
70	6
36422	1
36423	7
72	2
36424	30
74	3
36426	1
75	7
36427	10
36428	7
417980	2
403363	4
403364	3
403365	3
403366	4
403367	6
403368	6
153523	1
403369	6
153524	2
153525	4
153526	11
153527	4
153528	13
153529	4
403360	3
403361	3
417992	2
417993	3
36419	1
417994	2
417995	2
417997	3
417998	3
417999	3
36410	19
403359	2
36411	7
83	27
36413	7
36414	23
36415	7
36416	8
417991	7
285710	2
246103	4
285711	4
246104	10
285712	2
246105	8
417914	1
285713	10
285714	2
417915	5
246106	3
246107	6
417916	5
285715	1
417917	3
285716	13
246108	10
285717	4
246109	1
417918	2
285718	3
417919	2
285719	2
246110	7
246111	3
417920	3
246112	8
246113	13
417922	1
94	4
96	12
98	1
99	7
285720	1
285721	15
246114	13
285723	3
246115	10
417924	2
417925	3
246116	9
285724	1
246117	1
285725	1
246118	2
417927	2
246119	1
417928	7
285727	1
417929	1
3803	21
3804	3
3806	26
246120	4
3807	23
246121	2
417930	4
246122	9
417931	2
246124	19
285730	4
285732	4
285733	19
417935	1
285734	7
417936	1
285736	1
417937	4
285737	5
417938	5
417939	5
285739	3
3814	12
417940	5
417941	3
417942	1
417944	3
3813	94
285740	2
285741	5
285743	1
285744	1
417945	3
285745	3
285746	12
285747	3
417949	6
285748	2
417950	6
3828	5
417951	6
417952	2
417953	2
246100	4
417954	3
246101	1
246102	5
417955	6
3824	1
153593	2
153594	1
153595	3
153596	7
403310	2
153597	1
403311	2
153598	2
403312	3
246147	3
246148	5
61401	3
246149	1
61403	9
61404	3
61406	3
246150	1
246151	1
246152	6
271100	1
271101	5
271102	4
403304	28
271103	4
271104	1
403305	28
403306	22
271105	3
3831	31
403307	2
271106	3
3832	2
271107	6
271108	13
271109	9
153583	4
153584	8
153585	4
403300	22
153587	21
403301	22
153588	18
403302	28
153589	9
403303	21
246158	2
61410	7
61411	1
61412	1
61413	18
61414	6
61415	3
61417	18
3847	2
61408	2
246162	7
246163	3
246164	3
246166	5
246167	2
246168	1
3840	71
3842	50
3843	16
153590	14
3844	17
153591	3
153592	2
61421	1
246125	8
61422	38
246126	5
61423	6
246127	3
61424	2
246128	5
246129	5
61425	23
61426	1
3859	1
246132	10
246133	5
246134	1
417900	1
3855	5
3856	3
3857	3
36490	11
417909	2
36491	4
36492	24
36493	6
36494	2
36495	35
36496	13
3871	1
61431	17
36497	9
285700	5
417901	1
417902	3
417903	3
246139	15
61435	2
417904	6
417905	1
61437	2
417906	4
285705	5
417907	5
285706	1
61438	1
417908	4
285708	4
61429	12
246140	16
285709	2
246143	3
246144	2
246145	1
246146	1
3861	4
36498	3
36499	11
3863	2
3864	8
3867	6
285310	1
285311	5
285312	2
3881	61
285313	3
3882	2
285314	3
285315	7
285318	3
285319	9
128906	7
128907	4
299950	1
128908	2
128909	2
299951	2
299952	2
299953	2
310833	2
299954	1
299955	1
3872	9
299956	4
310835	5
3873	7
299957	1
128900	14
310837	1
299958	3
3875	19
128901	4
299959	3
310838	7
3876	6
128902	7
310839	5
3877	1
128903	3
128904	2
3879	6
128905	6
285320	3
285321	35
3890	4
285322	1
285323	2
3892	6
285324	1
3893	82
285326	11
285327	8
285328	2
285329	4
299960	11
310840	3
310841	5
310842	5
310843	11
310844	7
299965	3
310845	22
3883	1
299967	4
310846	1
310847	5
299968	12
299969	1
3886	117
310849	3
3887	46
285330	3
285332	1
285333	1
285334	3
285335	2
285337	1
285339	5
299980	1
299970	2
299971	2
299973	3
299974	3
299975	2
310810	5
299976	9
310811	2
299977	9
310812	7
299978	6
310813	1
299979	2
310815	9
310816	2
310817	6
310818	6
310819	2
285340	1
285341	5
285342	5
285343	2
285344	2
285345	8
285347	1
285348	2
299990	2
299991	3
299982	2
299983	2
299984	2
310820	2
310821	5
310822	6
310823	3
310824	7
299989	3
310825	9
310826	3
310828	1
114309	3
128950	12
114301	3
114302	11
114303	2
114304	8
114305	3
114306	3
114308	69
299910	2
114310	2
299911	3
114311	2
128942	5
299912	1
128943	10
299913	2
128944	1
299915	3
128945	7
128946	2
299916	5
299917	4
299918	2
299919	6
128940	13
128941	25
128939	2
299921	3
114300	11
299922	11
128931	3
299923	11
310802	1
128932	3
299924	11
310803	1
128933	2
310804	7
128934	6
310805	7
128935	9
310806	11
128936	6
299928	2
299929	2
128937	22
128938	29
128930	9
128928	3
128929	3
299930	5
299931	5
299932	5
299933	25
128920	3
299934	6
128921	7
299935	7
299937	1
299938	4
299939	6
128925	3
128926	2
285300	2
285301	2
285302	13
285303	2
285304	3
285305	1
285306	1
285307	3
285308	3
285309	30
128917	1
299940	3
299941	2
299942	2
299943	2
299944	6
299945	3
299946	6
128910	17
128911	11
299947	9
299948	4
128912	4
299949	2
128913	8
128914	6
128915	28
285395	2
403076	7
285396	5
128990	19
403077	4
128991	20
285397	2
403078	2
128992	24
285398	22
285399	4
153950	6
128994	7
128995	10
153951	5
36640	3
128996	38
153952	6
153953	1
114345	5
114346	3
153954	20
114347	18
153955	9
114348	10
153956	12
403071	2
114349	4
403072	5
153957	7
403073	3
153959	15
403074	2
403075	5
36649	34
114350	1
114351	1
114352	3
114353	13
114354	3
114355	4
36641	17
128986	1
128987	12
36642	9
36643	61
128988	23
128989	12
36644	7
36645	1
36646	96
36647	5
36648	9
403065	4
403066	2
128980	46
403067	6
403068	8
128981	2
128982	2
403069	2
128983	1
153940	12
128985	1
153941	1
153942	15
22002	7
153944	1
153945	6
403060	2
114338	6
153946	1
403061	4
22005	12
153947	3
114339	8
403062	1
22006	1
153948	3
403063	1
153949	3
36638	4
36639	78
114340	1
114341	5
114342	6
114343	3
114344	12
128975	2
36631	1
128976	1
128977	1
36633	17
128978	3
36634	5
128979	6
36635	23
36636	2
36637	2
403054	5
403056	1
153970	2
128970	12
128971	50
153971	9
403058	2
128972	8
153972	4
128973	1
153973	6
153974	3
153975	6
114324	9
153976	6
153977	9
114325	10
153978	12
114326	1
153979	4
114327	3
403050	4
114328	19
403051	2
114329	2
403053	2
114330	15
36620	2
128965	3
36621	28
128966	4
128967	11
36622	2
36623	6
128968	9
128969	4
36624	3
36625	7
403043	3
403045	4
153960	13
128960	6
153961	3
403049	4
128962	3
128963	2
114312	24
153965	26
114313	5
114314	3
153966	2
114315	1
153967	7
114316	3
153968	7
114317	4
153969	2
114318	1
403041	7
114319	6
403042	3
36616	20
36618	1
36619	12
114320	2
114321	2
114322	27
128953	6
128954	5
128955	4
36610	2
36611	16
36612	1
128957	16
36613	15
36614	7
36615	1
285351	8
285352	5
285354	2
285355	2
285358	6
153910	2
153912	5
153913	1
153914	1
153915	3
153917	2
36605	2
299992	3
417684	5
299993	12
417685	5
299994	4
36607	4
153919	2
417686	5
36608	2
299995	4
417687	5
114396	6
299996	19
36609	2
417688	5
114397	26
299997	2
417689	5
114398	3
299998	2
299999	13
36600	16
36601	3
417680	2
36602	3
36603	4
285360	2
285361	2
114391	3
417683	1
285362	1
285365	3
285367	1
285368	2
285369	7
114378	3
114379	10
153902	1
153903	7
153904	1
153905	5
114381	50
417695	1
153906	1
114382	18
417696	1
153907	4
114383	9
417697	3
114384	10
417698	4
417699	2
114385	1
114388	1
417690	5
285370	2
285371	2
417693	2
114380	60
417694	3
285372	1
285373	2
285374	2
403099	2
285375	2
285376	1
285377	2
285379	1
153930	4
114367	6
153931	3
403090	1
114368	15
153932	3
403092	4
114369	9
153933	2
153934	2
153935	3
153936	4
403095	3
403097	5
114370	7
114371	31
114372	7
114373	10
114374	2
114375	7
114376	6
114377	21
285380	9
285381	1
285382	5
285384	3
403088	8
285385	1
285386	1
403089	4
285387	2
285388	2
285389	1
153920	8
114356	7
153921	16
114357	2
403080	2
114358	22
403081	3
114359	5
153923	5
403082	1
153924	4
403083	3
153925	3
403084	3
153926	1
403086	1
114360	8
153929	2
114361	3
114362	1
114363	6
114364	4
114365	3
114366	6
128997	4
128998	5
128999	7
285390	9
285392	3
285393	2
285394	20
61560	4
61561	2
61562	5
61563	24
61564	5
61565	11
417638	3
61566	2
417639	1
61567	2
61568	5
61569	5
417640	8
417641	6
417642	3
417643	7
417644	2
417645	2
417646	2
417647	2
36590	1
36591	27
61570	9
36593	1
61571	5
61572	12
61573	4
61574	7
61575	7
417648	4
61576	9
417649	4
61577	4
61578	4
61579	2
417651	1
417652	1
417655	3
417656	2
417657	4
417658	4
36597	1
36599	6
417650	1
36580	9
61580	25
36581	8
61582	7
36582	2
61583	35
36583	15
61584	6
36585	1
417659	2
61588	4
61589	3
417662	2
417663	3
417664	3
114295	10
114296	10
417665	1
114297	10
417666	2
114298	34
417667	2
114299	10
417668	3
36587	11
36589	57
114290	3
114291	5
61590	10
61591	10
61592	3
36571	24
61593	9
61594	15
61595	30
36574	13
61596	5
114279	4
61598	2
61599	2
114282	7
417673	1
114283	21
417674	7
114284	11
417675	1
114285	3
417676	2
417677	3
114286	3
114287	6
417678	4
114288	6
417679	3
114289	10
36575	56
36576	9
36577	5
36579	14
114280	4
114281	7
403032	1
403034	3
153870	8
153871	6
403035	4
36560	12
403036	2
153872	2
403037	2
153873	3
153874	17
36562	2
153875	3
153879	2
403030	2
403031	3
417600	3
417601	2
417602	2
417603	3
36564	1
403029	2
36565	3
36566	2
36567	18
36568	1
36569	1
403021	1
403023	4
153860	3
403024	4
153861	1
36550	5
153862	6
403026	2
153863	5
403027	1
153864	7
36552	11
403028	1
153865	1
153866	5
417606	2
153867	2
153868	39
417607	5
417608	2
153869	17
417609	3
403020	1
417610	5
417611	2
417612	2
417613	5
417614	5
36553	7
403018	1
36554	7
36556	1
36557	2
36559	3
153890	1
153891	6
153892	2
403012	3
153893	45
153894	1
403014	2
153895	3
403015	2
36540	17
153896	2
403016	4
36541	34
153897	8
403017	2
153898	10
417615	3
417616	3
417617	6
417618	1
417619	2
417620	2
417621	3
417622	4
417623	4
417624	2
417625	3
36542	19
403007	6
36543	3
36544	1
36545	18
36547	8
36548	3
36549	20
153880	15
403000	3
153882	1
153883	8
403003	1
153884	2
153885	89
36530	32
153886	6
403006	3
153887	3
417626	3
153888	2
417627	3
153889	8
417628	3
417629	3
3902	2
36539	30
3903	2
417630	3
3904	1
417631	3
3905	1
417632	4
3906	5
417633	2
3907	1
417634	4
3908	11
417635	8
3909	4
417636	3
36531	10
36532	2
36536	2
36537	1
36538	11
3916	10
3910	6
3926	23
3927	2
3920	7
3921	6
3922	6
3923	13
61500	2
61501	2
61502	61
3935	9
3936	2
310894	1
310895	1
3939	14
310897	4
3930	8
61510	26
61511	2
61512	2
61513	2
61514	12
61515	2
61516	2
61506	87
61507	10
61508	3
3949	1
3940	9
3945	17
61521	28
61524	43
61525	3
61527	34
310881	1
310871	3
61517	1
61518	59
3958	21
310872	2
3959	10
310873	1
310874	4
310876	6
310877	1
310878	2
3950	4
3952	1
3955	22
3970	8
61531	20
61532	4
61533	1
61535	64
61536	27
61537	7
61538	13
3969	4
61529	3
310883	3
310884	4
310885	7
310886	6
310887	2
3960	1
3964	1
3965	39
3966	80
3980	2
61540	5
3981	10
61541	48
61542	2
61544	8
61545	25
61546	147
61547	3
61548	13
61549	15
3979	9
61539	4
310850	1
310851	2
310854	5
310855	5
310856	5
310857	1
310858	2
3973	6
310859	2
3976	1
3990	30
61550	9
61551	18
3992	93
61552	20
61553	4
61554	1
61555	136
61556	19
61557	2
61558	16
61559	12
310870	5
310860	1
310861	3
310862	6
310863	3
310867	6
310868	1
310869	3
3985	3
3986	28
3989	22
285430	3
285431	2
285433	1
285434	1
285435	3
285436	2
285437	2
285439	1
310952	5
3993	3
310956	7
3994	28
310957	4
310958	3
310959	3
285441	2
285443	2
285444	5
285446	2
285447	1
285448	2
285449	3
310960	4
310961	4
310963	1
310965	1
310966	1
310967	5
310968	1
285452	11
285453	6
285454	3
285455	5
285456	2
285457	1
285458	4
310934	2
310935	5
310936	12
310938	1
310939	2
285461	2
285462	3
285463	8
285465	1
285468	2
285469	3
310940	1
310941	2
310943	2
310944	1
310946	11
310947	4
310948	3
310949	3
285470	2
285471	6
128830	1
128829	23
310911	7
128821	5
310912	1
128822	5
310913	2
128823	5
128824	2
128825	16
128826	16
310917	1
128827	16
